"year","wld_id","eci"
2000,"afago",-1.56387
2000,"afciv",-1.19945
2000,"afcmr",-1.86252
2000,"afcog",-1.18153
2000,"afdza",-0.516799
2000,"afegy",-0.14477
2000,"afeth",-1.13063
2000,"afgab",-0.466775
2000,"afgha",-1.0859
2000,"afgin",-1.39932
2000,"afken",-0.990059
2000,"aflbr",-0.973432
2000,"aflby",-0.62552
2000,"afmar",-0.576761
2000,"afmdg",-1.39507
2000,"afmli",-0.420333
2000,"afmoz",-0.198316
2000,"afmrt",-0.977348
2000,"afmus",-0.937869
2000,"afmwi",-1.88357
2000,"afnga",-1.40428
2000,"afsdn",-1.39062
2000,"afsen",-1.04957
2000,"aftun",0.0161367
2000,"aftza",-1.3557
2000,"afuga",-1.48686
2000,"afzaf",0.438638
2000,"afzmb",-0.793353
2000,"afzwe",-0.531129
2000,"asare",-0.263693
2000,"asaze",-0.105049
2000,"asbgd",-1.03418
2000,"aschn",0.26445
2000,"asgeo",0.561265
2000,"ashkg",0.565384
2000,"asidn",-0.0465448
2000,"asind",0.152905
2000,"asirn",-0.599349
2000,"asisr",1.25126
2000,"asjor",0.466712
2000,"asjpn",2.35193
2000,"askaz",0.0138728
2000,"askhm",-1.26098
2000,"askor",1.09177
2000,"askwt",-0.598712
2000,"aslao",-1.13154
2000,"aslbn",0.0120076
2000,"aslka",-0.686109
2000,"asmng",-0.845786
2000,"asmys",0.614031
2000,"asomn",-0.208679
2000,"aspak",-0.795822
2000,"asphl",-0.176072
2000,"asqat",-0.405426
2000,"asrus",0.828175
2000,"assau",0.242398
2000,"assgp",1.39709
2000,"assyr",-1.03894
2000,"astha",0.323835
2000,"astur",0.212341
2000,"asuzb",-0.430372
2000,"asvnm",-0.715529
2000,"asyem",-1.33394
2000,"eualb",-0.221006
2000,"euaut",1.68916
2000,"eubel",1.57035
2000,"eubgr",0.488015
2000,"eubih",0.19964
2000,"eublr",0.597293
2000,"euche",2.12261
2000,"eucze",1.55234
2000,"eudeu",2.25528
2000,"eudnk",1.56246
2000,"euesp",1.17698
2000,"euest",0.346433
2000,"eufin",1.88347
2000,"eufra",1.6592
2000,"eugbr",1.96008
2000,"eugrc",0.352587
2000,"euhrv",0.692979
2000,"euhun",1.08822
2000,"euirl",1.57258
2000,"euita",1.47886
2000,"eultu",0.143605
2000,"eulva",0.100229
2000,"eumda",0.167478
2000,"eumkd",-0.225418
2000,"eunld",1.37108
2000,"eunor",0.858657
2000,"eupol",1.03185
2000,"euprt",0.609316
2000,"eurou",0.578479
2000,"eusvk",1.43909
2000,"eusvn",1.38839
2000,"euswe",2.038
2000,"euukr",0.734411
2000,"nacan",1.11201
2000,"nacri",-0.66427
2000,"nacub",-0.937819
2000,"nadom",-0.661183
2000,"nagtm",-0.985698
2000,"nahnd",-1.21554
2000,"najam",-0.810932
2000,"namex",0.869657
2000,"nanic",-1.32059
2000,"napan",-0.242967
2000,"naslv",-0.843924
2000,"natto",-0.0236306
2000,"nausa",1.94247
2000,"ocaus",0.134223
2000,"ocnzl",0.5878
2000,"ocpng",-1.36825
2000,"saarg",0.34191
2000,"sabol",-0.718373
2000,"sachl",0.240556
2000,"sacol",0.285601
2000,"saecu",-0.737469
2000,"saper",-0.237957
2000,"sapry",-0.452485
2000,"saury",0.363476
2000,"saven",0.0836191
2001,"afago",-2.03903
2001,"afciv",-0.751084
2001,"afcmr",-1.55093
2001,"afcog",-1.45165
2001,"afdza",-0.977625
2001,"afegy",-0.565762
2001,"afeth",-1.24489
2001,"afgab",-1.62481
2001,"afgha",-0.895186
2001,"afgin",-1.09238
2001,"afken",-0.50334
2001,"aflbr",-0.439633
2001,"aflby",-1.18215
2001,"afmar",-0.475226
2001,"afmdg",-0.922946
2001,"afmli",-0.61193
2001,"afmoz",-1.03166
2001,"afmrt",-1.21989
2001,"afmus",-0.255768
2001,"afmwi",-1.20178
2001,"afnga",-2.13092
2001,"afsdn",-1.8686
2001,"afsen",-0.367738
2001,"aftun",0.254263
2001,"aftza",-1.36937
2001,"afuga",-1.23639
2001,"afzaf",0.0444242
2001,"afzmb",-1.07133
2001,"afzwe",-1.10523
2001,"asare",-0.267841
2001,"asaze",-0.823089
2001,"asbgd",-0.632252
2001,"aschn",0.552223
2001,"asgeo",-0.0727987
2001,"ashkg",1.24024
2001,"asidn",0.0445649
2001,"asind",0.300856
2001,"asirn",-1.1024
2001,"asisr",1.21433
2001,"asjor",0.573668
2001,"asjpn",2.69553
2001,"askaz",-0.326478
2001,"askgz",-0.178439
2001,"askhm",-0.651227
2001,"askor",1.39326
2001,"askwt",-0.760536
2001,"aslao",-0.750233
2001,"aslbn",0.195049
2001,"aslka",-0.431375
2001,"asmng",-0.799226
2001,"asmys",0.951609
2001,"asomn",-0.579687
2001,"aspak",-0.58497
2001,"asphl",-0.0667033
2001,"asqat",-0.492541
2001,"asrus",0.522692
2001,"assau",0.10337
2001,"assgp",1.43961
2001,"assyr",-1.03328
2001,"astha",0.562424
2001,"astkm",-1.24864
2001,"astur",0.193288
2001,"asuzb",-0.595434
2001,"asvnm",-0.458214
2001,"asyem",-1.29711
2001,"eualb",-0.263894
2001,"euaut",1.72783
2001,"eubel",1.23801
2001,"eubgr",0.468498
2001,"eubih",0.44844
2001,"eublr",1.02721
2001,"euche",2.1122
2001,"eucze",1.52624
2001,"eudeu",2.09237
2001,"eudnk",1.31634
2001,"euesp",1.08236
2001,"euest",0.726484
2001,"eufin",1.87205
2001,"eufra",1.48646
2001,"eugbr",1.89816
2001,"eugrc",0.154882
2001,"euhrv",0.810087
2001,"euhun",1.05959
2001,"euirl",1.616
2001,"euita",1.48808
2001,"eultu",0.519029
2001,"eulva",0.5477
2001,"eumda",-0.0764835
2001,"eumkd",0.0593273
2001,"eunld",1.1273
2001,"eunor",0.459097
2001,"eupol",1.04016
2001,"euprt",0.815259
2001,"eurou",0.650218
2001,"eusvk",1.30369
2001,"eusvn",1.46936
2001,"euswe",1.94339
2001,"euukr",0.633347
2001,"nacan",0.744852
2001,"nacri",-0.110755
2001,"nacub",-0.917511
2001,"nadom",-0.931224
2001,"nagtm",-0.172438
2001,"nahnd",-0.790927
2001,"najam",-0.684027
2001,"namex",1.11637
2001,"nanic",-0.637858
2001,"napan",0.467628
2001,"naslv",0.0843264
2001,"natto",0.182834
2001,"nausa",1.6831
2001,"ocaus",-0.276514
2001,"ocnzl",0.121313
2001,"ocpng",-1.16616
2001,"saarg",0.0075085
2001,"sabol",-0.694987
2001,"sachl",-0.0882959
2001,"sacol",0.22799
2001,"saecu",-0.955948
2001,"saper",-0.47225
2001,"sapry",-0.857862
2001,"saury",0.0642599
2001,"saven",-0.0843247
2002,"afago",-1.98549
2002,"afciv",-0.853307
2002,"afcmr",-1.31694
2002,"afcog",-1.73876
2002,"afdza",-0.822845
2002,"afegy",-0.514916
2002,"afeth",-1.58331
2002,"afgab",-1.41511
2002,"afgha",-1.30126
2002,"afgin",-1.48464
2002,"afken",-0.425889
2002,"aflbr",-0.525421
2002,"aflby",-0.988361
2002,"afmar",-0.369812
2002,"afmdg",-1.00638
2002,"afmli",-0.913633
2002,"afmoz",-0.767183
2002,"afmrt",-0.967412
2002,"afmus",-0.283396
2002,"afmwi",-1.49496
2002,"afnga",-1.36026
2002,"afsdn",-1.43191
2002,"afsen",-0.307998
2002,"aftun",0.135835
2002,"aftza",-1.44608
2002,"afuga",-1.25025
2002,"afzaf",0.0527204
2002,"afzmb",-0.844522
2002,"afzwe",-0.329109
2002,"asare",-0.259795
2002,"asaze",-0.668349
2002,"asbgd",-0.840535
2002,"aschn",0.663797
2002,"asgeo",0.0629226
2002,"ashkg",1.18943
2002,"asidn",0.0184796
2002,"asind",0.235124
2002,"asirn",-1.03813
2002,"asisr",1.16049
2002,"asjor",0.527427
2002,"asjpn",2.63764
2002,"askaz",-0.396651
2002,"askgz",-0.389203
2002,"askhm",-0.289195
2002,"askor",1.45812
2002,"askwt",-0.69874
2002,"aslao",-0.973495
2002,"aslbn",0.253756
2002,"aslka",-0.396226
2002,"asmng",-0.870147
2002,"asmys",1.00246
2002,"asomn",-0.92934
2002,"aspak",-0.663492
2002,"asphl",-0.117545
2002,"asqat",-0.85105
2002,"asrus",0.718598
2002,"assau",0.167896
2002,"assgp",1.51814
2002,"assyr",-1.04471
2002,"astha",0.567655
2002,"astkm",-1.25602
2002,"astur",0.0974245
2002,"asuzb",-0.801825
2002,"asvnm",-0.444753
2002,"asyem",-1.34184
2002,"eualb",-0.249554
2002,"euaut",1.78976
2002,"eubel",1.18184
2002,"eubgr",0.47551
2002,"eubih",0.455746
2002,"eublr",1.16899
2002,"euche",2.05461
2002,"eucze",1.61843
2002,"eudeu",2.15217
2002,"eudnk",1.31846
2002,"euesp",1.04987
2002,"euest",0.856224
2002,"eufin",1.8937
2002,"eufra",1.5488
2002,"eugbr",1.79361
2002,"eugrc",0.245548
2002,"euhrv",0.962526
2002,"euhun",1.19581
2002,"euirl",1.60851
2002,"euita",1.44831
2002,"eultu",0.490175
2002,"eulva",0.718831
2002,"eumda",-0.0531524
2002,"eumkd",-0.0705683
2002,"eunld",1.08529
2002,"eunor",0.519007
2002,"eupol",1.03651
2002,"euprt",0.734011
2002,"eurou",0.640986
2002,"eusvk",1.32079
2002,"eusvn",1.47138
2002,"euswe",1.98691
2002,"euukr",0.647028
2002,"nacan",0.769898
2002,"nacri",0.0061437
2002,"nacub",-0.912247
2002,"nadom",-0.266667
2002,"nagtm",-0.28457
2002,"nahnd",-0.565022
2002,"najam",-0.505353
2002,"namex",1.09036
2002,"nanic",-0.366351
2002,"napan",-0.263196
2002,"naslv",-0.0182467
2002,"natto",-0.184703
2002,"nausa",1.65071
2002,"ocaus",-0.278447
2002,"ocnzl",0.297404
2002,"ocpng",-1.44203
2002,"saarg",-0.0291209
2002,"sabol",-0.841112
2002,"sachl",-0.16587
2002,"sacol",0.165183
2002,"saecu",-1.0689
2002,"saper",-0.610715
2002,"sapry",-0.874559
2002,"saury",-0.221733
2002,"saven",-0.0428146
2003,"afago",-1.66608
2003,"afbwa",-0.130675
2003,"afciv",-0.75514
2003,"afcmr",-0.804063
2003,"afcog",-1.56769
2003,"afdza",-1.43747
2003,"afegy",-0.428912
2003,"afeth",-1.33075
2003,"afgab",-0.297754
2003,"afgha",-1.10797
2003,"afgin",-1.76507
2003,"afken",-0.335754
2003,"aflbr",-0.143355
2003,"aflby",-0.932048
2003,"afmar",-0.544348
2003,"afmdg",-0.979395
2003,"afmli",-1.59249
2003,"afmoz",-0.641632
2003,"afmrt",-0.665757
2003,"afmus",-0.22571
2003,"afmwi",-1.51448
2003,"afnam",-0.0715201
2003,"afnga",-1.48657
2003,"afsdn",-1.4688
2003,"afsen",-0.299451
2003,"aftun",-0.0585137
2003,"aftza",-1.38446
2003,"afuga",-0.994445
2003,"afzaf",0.158166
2003,"afzmb",-1.10345
2003,"afzwe",-0.422316
2003,"asare",-0.185471
2003,"asaze",-0.822998
2003,"asbgd",-0.935693
2003,"aschn",0.578877
2003,"asgeo",-0.0581443
2003,"ashkg",0.889905
2003,"asidn",0.0062909
2003,"asind",0.254858
2003,"asirn",-0.986122
2003,"asisr",1.26469
2003,"asjor",-0.0575138
2003,"asjpn",2.66402
2003,"askaz",-0.381545
2003,"askgz",-0.465055
2003,"askhm",-0.626131
2003,"askor",1.50253
2003,"askwt",-0.7298
2003,"aslao",-1.07374
2003,"aslbn",0.0600675
2003,"aslka",-0.488909
2003,"asmng",-0.97551
2003,"asmys",0.952954
2003,"asomn",-1.02766
2003,"aspak",-0.785259
2003,"asphl",-0.152521
2003,"asqat",-0.683828
2003,"asrus",0.699684
2003,"assau",-0.157952
2003,"assgp",1.61648
2003,"assyr",-0.97292
2003,"astha",0.565745
2003,"astjk",-0.92478
2003,"astkm",-1.38647
2003,"astur",0.110739
2003,"asuzb",-0.723977
2003,"asvnm",-0.426583
2003,"asyem",-1.78474
2003,"eualb",-0.109943
2003,"euaut",1.88805
2003,"eubel",1.16731
2003,"eubgr",0.452789
2003,"eubih",0.528157
2003,"eublr",1.11731
2003,"euche",2.26374
2003,"eucze",1.63907
2003,"eudeu",2.22438
2003,"eudnk",1.33507
2003,"euesp",0.958014
2003,"euest",0.68101
2003,"eufin",1.88836
2003,"eufra",1.5434
2003,"eugbr",1.83193
2003,"eugrc",0.204318
2003,"euhrv",0.776828
2003,"euhun",1.23719
2003,"euirl",1.49611
2003,"euita",1.50504
2003,"eultu",0.453261
2003,"eulva",0.711119
2003,"eumda",-0.0425166
2003,"eumkd",-0.148515
2003,"eunld",1.11259
2003,"eunor",0.493399
2003,"eupol",0.938386
2003,"euprt",0.727634
2003,"eurou",0.553908
2003,"eusvk",1.32694
2003,"eusvn",1.57251
2003,"euswe",2.08744
2003,"euukr",0.807911
2003,"nacan",0.809698
2003,"nacri",0.0585324
2003,"nacub",-0.767991
2003,"nadom",-0.245899
2003,"nagtm",-0.0873807
2003,"nahnd",-0.398532
2003,"najam",-0.518225
2003,"namex",1.11229
2003,"nanic",-0.690445
2003,"napan",0.519131
2003,"naslv",-0.0184345
2003,"natto",-0.193974
2003,"nausa",1.67863
2003,"ocaus",-0.259433
2003,"ocnzl",0.228062
2003,"ocpng",-1.23688
2003,"saarg",-0.12944
2003,"sabol",-0.644975
2003,"sachl",-0.258509
2003,"sacol",-0.0479319
2003,"saecu",-0.822737
2003,"saper",-0.72728
2003,"sapry",-0.922501
2003,"saury",-0.148124
2003,"saven",-0.267535
2004,"afago",-0.952397
2004,"afbwa",-0.814513
2004,"afciv",-0.855796
2004,"afcmr",-1.41247
2004,"afcog",-1.45815
2004,"afdza",-1.23387
2004,"afegy",-0.518476
2004,"afeth",-1.42733
2004,"afgab",-0.783943
2004,"afgha",-0.898133
2004,"afgin",-0.891688
2004,"afken",-0.450749
2004,"aflbr",-0.251322
2004,"aflby",-1.25284
2004,"afmar",-0.449624
2004,"afmdg",-0.871207
2004,"afmli",-0.970589
2004,"afmoz",-1.06651
2004,"afmrt",-1.77771
2004,"afmus",-0.0671847
2004,"afmwi",-1.35896
2004,"afnam",-0.514811
2004,"afnga",-2.28943
2004,"afsdn",-1.81195
2004,"afsen",-0.405088
2004,"aftun",0.043543
2004,"aftza",-1.14682
2004,"afuga",-0.944978
2004,"afzaf",0.150573
2004,"afzmb",-0.71728
2004,"afzwe",-0.55522
2004,"asare",-0.399928
2004,"asaze",-0.924738
2004,"asbgd",-1.05315
2004,"aschn",0.703504
2004,"asgeo",0.0098037
2004,"ashkg",0.964734
2004,"asidn",-0.0799561
2004,"asind",0.106058
2004,"asirn",-1.0142
2004,"asisr",1.22644
2004,"asjor",0.11441
2004,"asjpn",2.71882
2004,"askaz",-0.523786
2004,"askgz",-0.512301
2004,"askhm",-0.853889
2004,"askor",1.63294
2004,"askwt",-0.117414
2004,"aslao",-1.03709
2004,"aslbn",0.102694
2004,"aslka",-0.487102
2004,"asmng",-1.0904
2004,"asmys",1.03026
2004,"asomn",-0.364047
2004,"aspak",-0.830145
2004,"asphl",0.115083
2004,"asqat",-0.130224
2004,"asrus",0.591904
2004,"assau",0.0097926
2004,"assgp",1.86034
2004,"assyr",-0.784555
2004,"astha",0.674961
2004,"astjk",-0.942749
2004,"astkm",-1.23075
2004,"astur",0.216734
2004,"asuzb",-0.661449
2004,"asvnm",-0.386696
2004,"asyem",-1.47
2004,"eualb",-0.320404
2004,"euaut",1.89347
2004,"eubel",1.09913
2004,"eubgr",0.382056
2004,"eubih",0.678505
2004,"eublr",1.05024
2004,"euche",2.24244
2004,"eucze",1.58204
2004,"eudeu",2.24756
2004,"eudnk",1.2425
2004,"euesp",0.928301
2004,"euest",0.709176
2004,"eufin",1.9782
2004,"eufra",1.37623
2004,"eugbr",1.73916
2004,"eugrc",0.205379
2004,"euhrv",0.835264
2004,"euhun",1.31609
2004,"euirl",1.41759
2004,"euita",1.4467
2004,"eultu",0.457464
2004,"eulva",0.62642
2004,"eumda",0.004661
2004,"eumkd",-0.117334
2004,"eunld",0.971682
2004,"eunor",0.456881
2004,"eupol",0.946251
2004,"euprt",0.709719
2004,"eurou",0.644029
2004,"eusvk",1.1916
2004,"eusvn",1.63294
2004,"euswe",2.07528
2004,"euukr",0.579003
2004,"nacan",0.705361
2004,"nacri",0.209144
2004,"nacub",-0.221785
2004,"nadom",-0.309481
2004,"nagtm",-0.0181473
2004,"nahnd",-0.415811
2004,"najam",-0.303337
2004,"namex",1.10546
2004,"nanic",-0.817766
2004,"napan",0.439694
2004,"naslv",0.0093951
2004,"natto",-0.152211
2004,"nausa",1.61457
2004,"ocaus",-0.338425
2004,"ocnzl",0.213541
2004,"ocpng",-1.45785
2004,"saarg",-0.156799
2004,"sabol",-0.834512
2004,"sachl",-0.274654
2004,"sacol",-0.0146475
2004,"saecu",-0.972155
2004,"saper",-0.673326
2004,"sapry",-0.746405
2004,"saury",-0.183675
2004,"saven",-0.171678
2005,"afago",-1.92831
2005,"afbwa",-0.871682
2005,"afciv",-0.864092
2005,"afcmr",-1.28226
2005,"afcog",-1.49279
2005,"afdza",-1.40866
2005,"afegy",-0.307626
2005,"afeth",-1.18377
2005,"afgab",-0.971737
2005,"afgha",-0.891601
2005,"afgin",-1.41659
2005,"afken",-0.415762
2005,"aflbr",-0.482406
2005,"aflby",-0.9447
2005,"afmar",-0.432609
2005,"afmdg",-0.792138
2005,"afmli",-1.2152
2005,"afmoz",-1.23538
2005,"afmrt",-1.38939
2005,"afmus",-0.224367
2005,"afmwi",-1.30114
2005,"afnam",-0.426475
2005,"afnga",-2.36965
2005,"afsdn",-1.45605
2005,"afsen",-0.304624
2005,"aftun",-0.0138399
2005,"aftza",-1.25114
2005,"afuga",-0.8054
2005,"afzaf",0.127803
2005,"afzmb",-0.98008
2005,"afzwe",-0.704522
2005,"asare",-0.256694
2005,"asaze",-0.971125
2005,"asbgd",-1.01912
2005,"aschn",0.675947
2005,"asgeo",-0.0846956
2005,"ashkg",0.849863
2005,"asidn",-0.0678491
2005,"asind",0.128285
2005,"asirn",-0.738456
2005,"asisr",1.02193
2005,"asjor",0.14718
2005,"asjpn",2.58229
2005,"askaz",-0.379831
2005,"askgz",-0.613162
2005,"askhm",-1.3176
2005,"askor",1.66417
2005,"askwt",-0.285177
2005,"aslao",-0.968816
2005,"aslbn",0.2867
2005,"aslka",-0.496702
2005,"asmng",-0.802037
2005,"asmys",0.905804
2005,"asomn",-0.263843
2005,"aspak",-0.678319
2005,"asphl",0.0800698
2005,"asqat",-0.657989
2005,"asrus",0.622396
2005,"assau",0.074287
2005,"assgp",1.63234
2005,"assyr",-0.671552
2005,"astha",0.62603
2005,"astjk",-0.719973
2005,"astkm",-1.18789
2005,"astur",0.261651
2005,"asuzb",-0.695818
2005,"asvnm",-0.472767
2005,"asyem",-1.14422
2005,"eualb",-0.318308
2005,"euaut",1.91666
2005,"eubel",1.17112
2005,"eubgr",0.31953
2005,"eubih",0.493908
2005,"eublr",1.05647
2005,"euche",2.1282
2005,"eucze",1.63837
2005,"eudeu",2.13201
2005,"eudnk",1.27804
2005,"euesp",0.929307
2005,"euest",0.834483
2005,"eufin",1.91958
2005,"eufra",1.47854
2005,"eugbr",1.70844
2005,"eugrc",0.157571
2005,"euhrv",0.835547
2005,"euhun",1.31278
2005,"euirl",1.4449
2005,"euita",1.41298
2005,"eultu",0.682985
2005,"eulva",0.6768
2005,"eumda",-0.0088689
2005,"eumkd",-0.17947
2005,"eunld",1.05175
2005,"eunor",0.786443
2005,"eupol",0.966865
2005,"euprt",0.592206
2005,"eurou",0.658558
2005,"eusvk",1.30696
2005,"eusvn",1.62642
2005,"euswe",2.02871
2005,"euukr",0.573944
2005,"nacan",0.868196
2005,"nacri",0.212748
2005,"nacub",-0.0332375
2005,"nadom",-0.348407
2005,"nagtm",-0.210492
2005,"nahnd",-0.231615
2005,"najam",-0.362442
2005,"namex",1.167
2005,"nanic",-0.723507
2005,"napan",0.45388
2005,"naslv",-0.103219
2005,"natto",-0.133147
2005,"nausa",1.58606
2005,"ocaus",-0.254687
2005,"ocnzl",0.274211
2005,"ocpng",-1.78967
2005,"saarg",0.0431832
2005,"sabol",-0.987831
2005,"sachl",-0.219227
2005,"sacol",0.0016483
2005,"saecu",-0.834114
2005,"saper",-0.566789
2005,"sapry",-0.677476
2005,"saury",-0.0374541
2005,"saven",-0.0050171
2006,"afago",-1.79006
2006,"afbwa",-1.06972
2006,"afciv",-0.922128
2006,"afcmr",-1.46478
2006,"afcog",-1.64429
2006,"afdza",-1.24843
2006,"afegy",-0.348888
2006,"afeth",-1.23126
2006,"afgab",-1.19
2006,"afgha",-0.987386
2006,"afgin",-1.50223
2006,"afken",-0.327282
2006,"aflbr",-1.08749
2006,"aflby",-0.924508
2006,"afmar",-0.427558
2006,"afmdg",-0.749257
2006,"afmli",-1.23768
2006,"afmoz",-1.10315
2006,"afmrt",-1.72149
2006,"afmus",-0.278108
2006,"afmwi",-0.900955
2006,"afnam",-0.490476
2006,"afnga",-1.54329
2006,"afsdn",-1.92228
2006,"afsen",-0.480346
2006,"aftun",0.120845
2006,"aftza",-1.10054
2006,"afuga",-0.875475
2006,"afzaf",0.104621
2006,"afzmb",-1.05587
2006,"afzwe",-0.308589
2006,"asare",-0.381546
2006,"asaze",-0.799364
2006,"asbgd",-0.89449
2006,"aschn",0.815736
2006,"asgeo",0.0438916
2006,"ashkg",0.905851
2006,"asidn",-0.0387985
2006,"asind",0.171696
2006,"asirn",-0.629464
2006,"asisr",1.08307
2006,"asjor",0.0851423
2006,"asjpn",2.51793
2006,"askaz",-0.451512
2006,"askgz",-0.350795
2006,"askhm",-1.1156
2006,"askor",1.63866
2006,"askwt",-0.422257
2006,"aslao",-0.943975
2006,"aslbn",0.240166
2006,"aslka",-0.410209
2006,"asmng",-1.12333
2006,"asmys",0.887117
2006,"asomn",-0.500024
2006,"aspak",-0.676389
2006,"asphl",0.155371
2006,"asqat",0.0549884
2006,"asrus",0.640153
2006,"assau",0.0784348
2006,"assgp",1.60513
2006,"assyr",-0.499813
